contributor,category,r2,mae,ctd_100,ctd_200,ctd_300,n_activities,frequency,seasonality,data_points
timja,human,-1.4495020990366285,6.390239406198603,26.0,71.0,107.0,275,30T,48.0,342
tommoor,human,0.0036839062754384644,1.7239838345145204,,,,299,1H,24.0,493
tschaub,human,0.009428762210969222,1.4051843313695789,-130.0,,,288,2H,12.0,476
twiecki,human,-0.13184532513830982,0.9252229514709467,,,,300,3H,8.0,434
tychoish,human,-0.5040701626073962,1.6472452543938356,,,,297,2H,12.0,503
ueokande,human,-2.3078038287380873,1.7127035746139143,533.0,794.0,1241.0,294,1H,24.0,818
unknwon,human,-0.2203178163640589,0.7955827111834082,,,,299,30T,48.0,529
vasturiano,human,-270292.84835792973,135.64711171743187,,,,300,8T,168.0,360
visualfc,human,-0.4717694576281799,0.8026504351439983,,,,300,1H,24.0,658
vmarkovtsev,human,-15.056238561286083,4.610907917192661,,,,300,30T,48.0,483
yajra,human,-55.85899319120594,18.01959463471317,85.0,186.0,617.0,290,2H,12.0,491
yowainwright,human,0.05873175780546136,1.097248762941215,-28.0,24.0,76.0,297,1H,24.0,549
yuce,human,-0.5875102457285148,1.8470858778732588,-62.0,1.0,188.0,298,1H,24.0,435
yurishkuro,human,-0.47251753896272075,0.8485731143666515,148.0,487.0,820.0,300,30T,48.0,596
