contributor,category,r2,mae,ctd_100,ctd_200,ctd_300,n_activities,frequency,seasonality,data_points
salesforce-cla[bot],bot,-0.015741374167513866,1.2212223581095785,-69.0,,,300,4H,6.0,510
scrutinizer-notifier,bot,-0.1708283660051788,1.203200171884744,59.0,192.0,396.0,300,1H,24.0,657
sentry-io[bot],bot,-0.0689585400976025,0.5647046482333519,-16.0,-4.0,8.0,299,1H,24.0,760
similar-code-searcher[bot],bot,-0.0360188663306833,0.6473433761349626,-191.0,,,298,2H,12.0,539
skia-flutter-autoroll,bot,-0.2788943210235655,1.6227674159844274,0.0,22.0,71.0,300,20T,72.0,417
softwarefactory-project-zuul[bot],bot,-6.246482450921807,3.0638765098492624,,,,300,30T,48.0,335
soloio-bot,bot,-0.11772691110851397,1.2576001084172312,39.0,366.0,263.0,275,1H,24.0,574
sourcegraph-bot,bot,-376.1578478494104,6.811852064166747,182.0,225.0,504.0,299,3T,,500
spinnakerbot,bot,0.0036025016172306357,1.4693625905128889,-182.0,,,292,2H,12.0,524
spring-builds,bot,-0.044081012483615956,0.9931026579353697,,,,300,4H,6.0,441
sprucelabs-ci,bot,-3.3871336530989975,5.138110410261752,5.0,7.0,179.0,300,8T,168.0,400
sre-bot,bot,-1.449438053994879,0.7990700877015986,783.0,1510.0,1883.0,294,1H,24.0,661
stakater-user,bot,-33.07769553163201,3.277580531387204,680.0,1289.0,1970.0,298,30T,48.0,385
status-im-auto,bot,-0.38699042871007827,0.7170327118325498,,,,299,30T,48.0,565
submariner-bot,bot,-7.3452237971982886,4.419647587555771,91.0,353.0,525.0,298,20T,72.0,393
swift-ci,bot,-0.057464794097497274,0.6916430134910312,-77.0,-80.0,,300,7T,,355
taichi-gardener,bot,-0.23089818620399472,1.9995947101565568,-1.0,177.0,302.0,271,1H,24.0,799
thundernest-bot,bot,-0.9770039713059506,2.0457368835694294,-1.0,44.0,190.0,299,4H,6.0,416
translatewiki,bot,-0.1561423169176268,1.2976548201907332,-1.0,-49.0,,264,1H,24.0,408
tykbot[bot],bot,0.08525812468320404,1.4907034769984369,-7.0,-38.0,,300,3H,8.0,434
usercont-release-bot,bot,0.7500619898404428,0.4104135097279017,-1.0,1.0,1.0,299,30T,48.0,526
va-bot,bot,0.4869244389761699,0.5207737707184811,7.0,0.0,0.0,300,3H,8.0,416
vc-ci,bot,-1.0517996618455254,1.4378801971155633,141.0,503.0,577.0,299,20T,72.0,427
violinist-bot,bot,-0.564436288136051,2.3269048515312223,54.0,166.0,222.0,295,30T,48.0,344
vmwclabot,bot,-0.7239546413655615,1.266377771174823,216.0,311.0,440.0,297,1H,24.0,553
vscode-issue-tracker-bot,bot,1.0,5.907125229000431e-40,0.0,0.0,0.0,300,30T,48.0,600
vtex-io-ci-cd[bot],bot,0.05974558879563474,1.0901171674737653,-94.0,-52.0,37.0,297,1H,24.0,527
vtex-io-docs-bot[bot],bot,-0.22937754891563622,0.8954082359373725,176.0,202.0,415.0,300,2H,12.0,504
welcome[bot],bot,-0.3643268703798288,1.096062550964195,,,,290,20T,72.0,389
wet-boew-bot,bot,0.027868951223303684,1.6775111873423487,-15.0,19.0,57.0,300,4H,6.0,426
